2026-01-06 09:50:00,068 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:50:30,076 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:51:00,071 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:51:30,067 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:52:00,069 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:52:30,075 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:53:00,069 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:53:30,075 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:54:00,066 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:54:30,070 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:55:00,074 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:55:30,071 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:56:00,073 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:56:30,072 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:57:00,072 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:57:30,075 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:58:00,081 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:58:30,074 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:59:00,082 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 09:59:30,073 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:00:00,073 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:00:30,075 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:01:00,073 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:01:30,077 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:02:00,083 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:02:30,078 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:03:00,077 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:03:30,080 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:04:00,078 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:04:30,082 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:05:00,091 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:05:30,079 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:06:00,083 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:06:30,081 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:07:00,081 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:07:30,081 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:08:00,084 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:08:30,083 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:09:00,083 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:09:30,085 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:10:00,084 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:10:30,118 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:11:00,083 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:11:30,084 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:12:00,092 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:12:30,086 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:13:00,096 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:13:30,088 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:14:00,092 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:14:30,088 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:15:00,095 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:15:30,090 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:16:00,089 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:16:30,089 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:17:00,095 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:17:30,095 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:18:00,094 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:18:30,093 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:19:00,094 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:19:30,093 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:20:00,099 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:20:30,099 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:21:00,099 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:21:30,096 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:22:00,100 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:22:30,098 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:23:00,099 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:23:30,096 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:24:00,099 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:24:30,101 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:25:00,097 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:25:30,098 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:26:00,106 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:26:30,100 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:27:00,098 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:27:30,102 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:28:00,111 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:28:30,100 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:29:00,104 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:29:30,105 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:30:00,105 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:30:30,111 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:31:00,103 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:31:30,104 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:32:00,114 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:32:30,111 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:33:00,114 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:33:30,111 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:34:00,149 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:34:30,107 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:35:00,107 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:35:30,106 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:36:00,510 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:36:30,162 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:37:00,116 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:37:30,110 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:38:00,107 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:38:30,113 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:39:00,110 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:39:30,110 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:40:00,140 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:40:30,121 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:41:00,118 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:41:30,114 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:42:00,116 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:42:30,146 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:43:00,154 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:43:30,115 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:44:00,123 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:44:30,116 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:45:00,151 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:45:30,119 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:46:00,119 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:46:30,119 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:47:00,117 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:47:30,113 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:48:00,122 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:48:30,125 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:49:00,125 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:49:30,126 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:50:00,118 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:50:30,125 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:51:00,125 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:51:30,120 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:52:00,125 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:52:30,124 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:53:00,128 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:53:30,122 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:54:00,123 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:54:30,125 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:55:00,138 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:55:30,146 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:56:00,136 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:56:30,133 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:57:00,166 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:57:30,158 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:58:00,125 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:58:30,125 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:59:00,143 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 10:59:30,129 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 11:00:00,131 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 11:00:30,133 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 11:01:00,130 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 11:01:30,130 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

2026-01-06 11:02:00,127 | ERROR    | ai_broker.data | Error fetching multi bars: {"message":"subscription does not permit querying recent SIP data"}

