2026-01-27 09:39:21,479 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:39:21,519 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:39:51,565 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:39:51,605 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:40:21,482 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:40:21,525 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:40:51,550 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:40:51,591 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:41:21,570 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:41:21,614 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:41:51,497 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:41:51,552 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:42:21,531 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:42:21,588 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:42:51,613 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:42:51,696 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:43:21,480 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:43:21,520 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:43:51,500 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:43:51,547 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:44:21,527 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:44:21,565 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:44:51,481 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:44:51,521 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:45:21,582 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:45:21,628 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:45:51,765 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:45:51,804 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:46:21,574 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:46:21,624 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:46:51,590 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:46:51,628 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:47:21,529 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:47:21,567 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:47:51,490 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:47:51,530 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:48:21,491 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:48:21,530 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:48:51,634 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:48:51,693 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:49:21,537 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:49:21,593 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:49:51,493 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:49:51,533 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:50:21,756 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:50:21,795 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:50:51,642 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:50:51,709 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:51:21,496 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:51:21,537 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:51:51,516 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:51:51,559 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:52:21,497 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:52:21,539 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:52:51,592 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:52:51,630 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:53:21,578 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:53:21,619 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:53:51,513 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:53:51,560 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:54:21,519 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:54:21,562 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:54:51,703 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:54:51,749 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:55:21,598 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:55:21,638 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:55:51,607 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:55:51,651 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:56:21,579 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:56:21,617 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:56:51,515 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:56:51,554 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:57:21,503 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:57:21,545 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:57:51,682 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:57:51,729 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:58:21,525 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:58:21,564 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:58:51,533 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:58:51,572 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:59:21,618 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:59:21,657 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 09:59:51,505 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 09:59:51,556 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:00:21,600 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:00:21,676 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
